model_name,split,threshold,precision,recall,f1,specificity,approval_rate,true_negative,false_positive,false_negative,true_positive,default_loss_exposure,rejected_good_ead,opportunity_cost_rate_assumption,total_cost_proxy
Logistic Regression,test,0.4,0.1245178213238697,0.9329479768786128,0.2197114075687448,0.4443791617704661,0.4149137853209352,4538,5674,58,807,97491761.09981,18864521972.74,0.02,474782200.55461
Logistic Regression,test,0.41,0.1279106858054226,0.9271676300578034,0.2248072880168185,0.4645515080297689,0.4339622641509434,4744,5468,63,802,105093087.500686,18300034313.04,0.02,471093773.761486
Logistic Regression,test,0.42,0.1321286472148541,0.9213872832369944,0.2311149775264608,0.4873678025851939,0.4554482260539857,4977,5235,68,797,114389578.227543,17556309318.5,0.02,465515764.597543
Logistic Regression,test,0.43,0.1368729529391484,0.9179190751445088,0.2382238223822382,0.5096944770857814,0.4763022479010562,5205,5007,71,794,116989451.57053702,16584836613.99,0.02,448686183.850337
Logistic Regression,test,0.44,0.1416532185762955,0.9132947976878611,0.2452654455138155,0.5312377594986291,0.4965243296921549,5425,4787,75,790,119284704.50747702,15720345185.490002,0.02,433691608.21727705
Logistic Regression,test,0.45,0.146286990508096,0.908670520231214,0.252003847386983,0.550822561692127,0.5149408684661911,5625,4587,79,786,124893927.132512,15091227039.01,0.02,426718467.912712
Logistic Regression,test,0.46,0.151780502043199,0.9017341040462428,0.2598267821452365,0.5731492361927144,0.5360657217658211,5853,4359,85,780,130955045.656423,14322902356.45,0.02,417413092.78542304
Logistic Regression,test,0.47,0.1559150657229524,0.8913294797687862,0.2654044750430293,0.5912651782217,0.5535794890313261,6038,4174,94,771,140640380.107434,13817137505.099998,0.02,416983130.209434
Logistic Regression,test,0.48,0.1617057209204137,0.8855491329479769,0.2734737593716529,0.6111437524481003,0.572357136408775,6241,3971,99,766,148630176.588784,13089552414.53,0.02,410421224.879384
Logistic Regression,test,0.49,0.1673612634349638,0.8820809248554913,0.2813421828908554,0.6282804543674109,0.5884264692606301,6416,3796,102,763,151406413.86084998,12555424014.580002,0.02,402514894.15245
